[DEBUG] 2020-10-04 16:28:25.919 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@7a904f32
[DEBUG] 2020-10-04 16:28:25.925 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@36fc05ff
[DEBUG] 2020-10-04 16:28:25.925 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@52d6cd34
[DEBUG] 2020-10-04 16:28:25.925 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@52d6cd34
[DEBUG] 2020-10-04 16:28:25.926 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@52d6cd34
[DEBUG] 2020-10-04 16:28:25.926 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@1abfe081
[DEBUG] 2020-10-04 16:28:25.927 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@acdcf71
[DEBUG] 2020-10-04 16:28:25.927 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@acdcf71
[DEBUG] 2020-10-04 16:28:25.929 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@cbc8d0f
[DEBUG] 2020-10-04 16:28:25.929 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@cbc8d0f
[DEBUG] 2020-10-04 16:28:25.930 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@17b6d426
[DEBUG] 2020-10-04 16:28:25.930 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@17b6d426
[DEBUG] 2020-10-04 16:28:25.930 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@20e3c449
[DEBUG] 2020-10-04 16:28:25.932 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@20e3c449
[DEBUG] 2020-10-04 16:28:25.933 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@7b7683d4
[DEBUG] 2020-10-04 16:28:25.935 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@7b7683d4
[DEBUG] 2020-10-04 16:28:25.935 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@76ddd61a
[DEBUG] 2020-10-04 16:28:25.937 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@5fcfca62
